,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
36,2023-02-28 23:21:54+00:00,https://twitter.com/LeadershipNGA/status/1630709909833625608,LeadershipNGA,Twitter Web App,Nigeria,"NIGERIA PRESIDENTIAL ELECTION RESULTS BY STATES https://t.co/UJfPZAec0O

From 37 state results so far, APC has won 12 states, PDP has won 12 states, Labour party has won 12 states and NNPP has won 1 state.

#NigerianElections2023 #2023GeneralElections #electionresults2023 https://t.co/1sDlFLpyBg",195,50,8,16
37,2023-02-28 23:21:20+00:00,https://twitter.com/panachefm/status/1630709768657547264,panachefm,Radio.co now playing,"Ikoyi, Nigeria","Kelechi Africana - Ring (woman)
 
#Listen live via  https://t.co/H5oJ2oxLCs #ElectionResult  #TinubuCannotWin #protest #2023GeneralElections #PaulVsFury #Messi #ObiWon #Falz #90DayFiance #ReferendumNow #INECElectionResult #FuryPaul",0,0,0,0
38,2023-02-28 23:19:55+00:00,https://twitter.com/MmaduwubaChris/status/1630709413341192193,MmaduwubaChris,Twitter for iPhone,"Lagos, Nigeria",40mins recess.... and we have been waiting since last month now #Channel247News #inecnigeria #TVC #channelstv #2023GeneralElections,2,1,0,0
39,2023-02-28 23:18:38+00:00,https://twitter.com/Mdcool4q/status/1630709089675231232,Mdcool4q,Twitter for Android,"Abuja, Nigeria",City boy the victory has just began💫  #2023GeneralElections https://t.co/TDgdcrgmYj,27,3,0,2
40,2023-02-28 23:17:38+00:00,https://twitter.com/NewsOneNG/status/1630708834959278084,NewsOneNG,Twitter Web App,Nigeria,"#NigeriaDecides2023: Live Updates of 2023 Presidential Election Results for All States 
#2023GeneralElections #electionresults2023 
#NigerianElections2023 #presidentialelection2023
https://t.co/8oxkTKbnBc",2,0,0,0
41,2023-02-28 23:14:47+00:00,https://twitter.com/Hadeyboye/status/1630708120111513601,Hadeyboye,Twitter for Android,Nigeria,"Welcome to my month💥
#2023GeneralElections 
#2023Verdict #electionresults2023 https://t.co/HQm631Zlkh",2,1,0,1
42,2023-02-28 23:14:41+00:00,https://twitter.com/panachefm/status/1630708094924668928,panachefm,Radio.co now playing,"Ikoyi, Nigeria","D’Banj - Ikébè
 
#Listen live via  https://t.co/H5oJ2oxLCs #ElectionResult  #TinubuCannotWin #protest #2023GeneralElections #PaulVsFury #Messi #ObiWon #Falz #90DayFiance #ReferendumNow #INECElectionResult #FuryPaul",0,0,0,0
43,2023-02-28 23:14:08+00:00,https://twitter.com/EdoborEmmanuel6/status/1630707956453986309,EdoborEmmanuel6,Twitter for Android,Nigeria,"I don sign petition tire.
Make person nor go mistakenly join cult o😪 

#2023GeneralElections",4,1,0,0
44,2023-02-28 23:10:30+00:00,https://twitter.com/Samtem29/status/1630707040942260226,Samtem29,Twitter for Android,,"#2023GeneralElections
#PresidentElect 
Celebrating 🎉🥳 jagaban @IsaleEkoNaija isale eko already https://t.co/3Zl5SIEhTG",6,0,0,0
45,2023-02-28 23:09:52+00:00,https://twitter.com/abs_sab0/status/1630706880749215746,abs_sab0,Twitter for iPhone,My profile,A rare video of LP vs APC 😂😂 #2023GeneralElections https://t.co/Z8ESN3QAI6,10,2,0,0
